image,prompt,guidance,strength,steps,identity,prompt_sim,locality
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,5,0.5,20,0.9340190887451172,0.1962926685810089,0.08046906727724078
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,5,0.5,35,0.9311983585357666,0.2064819037914276,0.0733401241373776
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,5,0.5,50,0.9310892820358276,0.20593014359474182,0.08235297505557211
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,5,0.7,20,0.9268604516983032,0.20138263702392578,0.06591349482404416
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,5,0.7,35,0.925472617149353,0.19972582161426544,0.07827173993341748
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,5,0.7,50,0.9245839715003967,0.19901299476623535,0.07586114425667496
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,5,0.9,20,0.818663477897644,0.1947489082813263,0.056129668532964055
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,5,0.9,35,0.8211418390274048,0.22193816304206848,0.01796699552214733
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,5,0.9,50,0.6586016416549683,0.23241212964057922,0.023452080304838398
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,5,0.99999,20,0.7811368107795715,0.21433447301387787,0.03632077611532292
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,5,0.99999,35,0.7326450347900391,0.25000035762786865,0.014451431647640619
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,5,0.99999,50,0.7487084865570068,0.22799260914325714,0.016367948243007167
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,8.5,0.5,20,0.9156430959701538,0.21150490641593933,0.06771811466800444
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,8.5,0.5,35,0.9188895225524902,0.20807817578315735,0.08285919167530802
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,8.5,0.5,50,0.9057625532150269,0.20599889755249023,0.07622372925316481
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,8.5,0.7,20,0.8990621566772461,0.20815551280975342,0.07600952690005816
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,8.5,0.7,35,0.9124065041542053,0.20468544960021973,0.08494436216754307
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,8.5,0.7,50,0.9083368182182312,0.20382879674434662,0.06332004510564482
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,8.5,0.9,20,0.838695764541626,0.21040092408657074,0.06277767328340553
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,8.5,0.9,35,0.8205515742301941,0.21138864755630493,0.07546019466383606
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,8.5,0.9,50,0.7689634561538696,0.21368227899074554,0.03684080382107537
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,8.5,0.99999,20,0.7219866514205933,0.24234792590141296,0.0324389497686246
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,8.5,0.99999,35,0.7317219376564026,0.2335517704486847,0.017230752848804407
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,8.5,0.99999,50,0.6890223026275635,0.23249571025371552,0.050749864233181494
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,12,0.5,20,0.9312916398048401,0.22656133770942688,0.08263279609403605
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,12,0.5,35,0.9331410527229309,0.20350806415081024,0.08243850383977558
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,12,0.5,50,0.9263601899147034,0.20547404885292053,0.072244120993782
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,12,0.7,20,0.904711902141571,0.22053416073322296,0.07557490968005386
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,12,0.7,35,0.909765362739563,0.24508382380008698,0.07432386663255254
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,12,0.7,50,0.8574946522712708,0.20460382103919983,0.08681962243446324
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,12,0.9,20,0.8112160563468933,0.23466020822525024,0.050457510829653836
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,12,0.9,35,0.7930077910423279,0.21892696619033813,0.05865204711013101
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,12,0.9,50,0.7557483911514282,0.24936217069625854,0.05872310665448944
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,12,0.99999,20,0.6861509084701538,0.2521117925643921,0.06655251338385006
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,12,0.99999,35,0.6722787618637085,0.24574998021125793,0.058294724101089344
data/test/IMG_2817.png,photo of a person with a buzzcut hairstyle,12,0.99999,50,0.7431904077529907,0.22960636019706726,0.01813256028071538
